id,sentence,info_snippets,info_target,info_sentiment_score,info_aspects
199,British American Tobacco first-half sales hurt by currency moves,['hurt by currency moves'],British American Tobacco,-0.346,['Market/Currency']
200,Zurich Insurance Considering Offer for UK Rival RSA Insurance,['Insurance Considering Offer for UK Rival RSA Insurance'],Zurich Insurance,0.25,['Corporate/Rumors/Rumors']
201,Japan's Nikkei lands Financial Times in $1.3 billion deal,['lands Financial Times in $1.3 billion deal'],Nikkei,0.262,['Corporate/Sales/Deal']
202,"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients",['sued by 'tax avoidance' clients'],Coutts,-0.248,['Corporate/Legal/Lawsuit']
203,"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients",['sued by 'tax avoidance' clients'],HSBC,-0.251,['Corporate/Legal/Lawsuit']
204,"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients",['sued by 'tax avoidance' clients'],UBS,-0.281,['Corporate/Legal/Lawsuit']
205,UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln,['sells rare cancer drug to Sanofi'],Sanofi,0.258,['Corporate/Sales/Deal']
206,Sainsbury sells unit to LloydsPharmacy,['sells unit to LloydsPharmacy'],Sainsbury,0.234,['Corporate/Sales/Deal']
207,BAE Systems's sales boosted by European Typhoon and currencies,['sales boosted by'],BAE Systems,0.39,['Corporate/Sales']
208,"Royal Mail 'breached competition law' over delivery service changes, Ofcom claims",['breached competition law'],Royal Mail,-0.315,['Corporate/Legal']
209,"Britain's FTSE steadies, supported by Dixons Carphone","['FTSE steadies, supported by Dixons Carphone']",Dixons Carphone,0.329,['Stock/Price Action']
210,Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano,['Signs China Manufacturing Deal With Desano'],Glaxo,0.284,['Corporate/Sales/Partnership']
211,AstraZeneca sells Caprelsa rights to Sanofi unit,['sells Caprelsa rights to Sanofi unit'],Sanofi,0.233,['Corporate/Sales/Deal']
212,UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change,['to speed up strategic change'],Barclays,-0.229,['Corporate/Strategy']
213,Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout,['Rio Tinto Sink in Commodities Rout'],Rio Tinto,-0.665,['Stock/Price Action/Bearish/Bearish Behaviour']
214,"FTSE led lower by M&S, GlaxoSmithKline",['FTSE led lowe'],M&S,-0.448,['Market/Market/Market Trend']
215,GKN to buy Fokker Technologies for 706 mln euros,['to buy Fokker Technologies'],GKN,0.276,['Corporate/M&A/M&A']
216,Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,['Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group'],Ennismore Group,0.198,['Corporate/Sales/Deal']
217,Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,['Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group'],Gleneagles Hotel,0.237,['Corporate/Sales/Deal']
218,"UPDATE: CIB, Legal & General Sell Egyptian Life Joint Venture To AXA",['Legal & General Sell Egyptian Life Joint Venture To AXA'],CIB,0.148,['Corporate/Sales/Deal']
219,Chime Communications Set To Be Acquired By WPP And Providence,[' Set To Be Acquired By WPP And Providence'],WPP,0.202,['Corporate/M&A/M&A']
220,"CompaniesNew Aggreko CEO to reshape business, strip costs","['to reshape business, strip costs']",Aggreko,0.177,['Corporate/Strategy']
221,AstraZeneca to Pay Inovio Up to $700 Million for Cancer Drug,['to Pay Inovio Up to $700 Million for Cancer Drug'],Inovio,0.33,['Corporate/Sales/Deal']
222,Rio Tinto CEO says iron ore market at equilibrium,['iron ore market at equilibrium'],Rio Tinto,0,['Market/Market']
223,US sanctions put Gazprom-Shell alliance plans in jeopardy,['US sanctions put '],Shell,-0.314,['Economy/Trade/Sanctions']
224,Standard Chartered Not Raising Capital Yet As Dividend Cut,['Not Raising Capital Yet As Dividend Cut'],Standard Chartered,-0.158,['Corporate/Dividend Policy']
225,"UPDATE 1-BHP Billiton's credit ratings fragile in FY16, agencies warn","['credit ratings fragile in FY16, agencies warn']",BHP,-0.338,['Corporate/Risks']
226,CRH adds CR Laurence to acquisitions tally for $1.3bn,['adds CR Laurence to acquisitions tally for $1.3bn'],CRH,0.231,['Corporate/M&A/M&A']
227,Novartis buys remaining rights to GSK treatment in deal up to $1 billion,['buys remaining rights to GSK treatment in deal up to $1 billion'],Novartis,0.217,['Corporate/Sales/Deal']
228,"AstraZeneca bags another cancer drug deal, this time with Inovio",['bags another cancer drug deal'],Inovio,0.316,['Corporate/Sales/Deal']
229,REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,['Investors to move 34 bln euros in assets from AXA fund arm'],AXA,-0.398,['Market/Conditions/Mutual Fund flows']
230,"L&G still paying price for dividend cut during crisis, chief says",['still paying price for dividend cut'],L&G,-0.338,['Corporate/Dividend Policy']
231,Buffett's Company Reports 37 Percent Drop in 2Q Earnings,['Reports 37 Percent Drop in 2Q Earnings'],Berkshire Hathaway Inc.,-0.566,['Corporate/Company Communication']
232,Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise,['Hikes Dividend 20% As Profit And Revenue Rise'],Travis Perkins,0.769,['Corporate/Dividend Policy']
233,"Tesco, Asda sales fall as march of the discounters continues: Kantar",['sales fall as march of the discounters'],Tesco,-0.398,['Corporate/Sales']
234,Shire proposes $30 bln all-share tie-up with Baxalta,['proposes $30 bln all-share tie-up with'],Shire,0.22,['Corporate/M&A/Proposed Merger']
235,Shire CEO steps up drive to get Baxalta board talking,['CEO steps up drive to get Baxalta board talking'],Shire,0.124,['Corporate/Strategy/Corporate Planning']
236,"Tesco, Asda sales fall as march of the discounters continues-Kantar",['Asda sales fall as march of the discounters continues'],Asda,-0.356,['Corporate/Sales/Demand Shortfall']
237,Verizon and AT&T accused of hurting rivals,['accused of hurting rivals'],Verizon,-0.446,['Corporate/Regulatory']
238,"FTSE 100 falls as China devaluation hits Burberry, mining stocks",['FTSE 100 falls as'],Burberry,-0.479,['Market/Volatility']
239,"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...",['agree to pay $2 billion to settle forex .'],Citi,-0.647,['Corporate/Legal/Settlement']
240,CompaniesCar insurer Hastings Group driving Â£180m IPO,['driving Â£180m IPO'],Hastings Group,0.302,['Stock/IPO']
241,Glencore slumps 25 pct as debt fears grow,['debt fears grow'],Glencore,-0.718,['Corporate/Risks']
242,Horizonte acquires neighbouring Glencore nickel property in Brazil,['e acquires neighbouring Glencore nickel property'],Horizonte,0.182,['Corporate/M&A/M&A']
243,UPDATE 1-Engineering firm Smiths Group confirms CEO appointment,['confirms CEO appointment'],Morrissons,0.078,['Corporate/Appointment']
244,Industry NewsMorrisons unveils which stores will close as 900 jobs face the axe,['unveils which stores will close as 900 jobs face the axe'],Morrissons,-0.731,['Corporate/Company Communication']
245,Glencore slumps 30 percent as debt fears grow,['debt fears grow'],Glencore,-0.781,['Corporate/Risks']
246,Aberdeen Asset Management Gains Foothold In China,['Gains Foothold In China'],Aberdeen Asset Managment,0.357,['Corporate/Strategy']
247,ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,['Partners With International Business Machines Corp. To Drive'],ARM Holdings,0.273,['Corporate/Strategy']
248,ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,['Partners With International Business Machines Corp'],IBM,0.345,['Corporate/Strategy']
249,"FTSE 100 drops 2.5 pct on Glencore, metals price fears",['FTSE 100 drops 2.5 pct'],Glencore,-0.597,['Stock/Price Action']
250,"After Barclays and Bank of America, Citigroup has blockchain in sight",['Citigroup has blockchain in sight'],Barclays,0.198,['Corporate/Strategy/Investment']
251,"After Barclays and Bank of America, Citigroup has blockchain in sight",['Citigroup has blockchain in sight'],Citigroup,0.224,['Corporate/Strategy/Investment']
252,AB InBev approaches SABMiller to explore $250bn tie-up,['approaches SABMiller to explore $250bn tie-up'],SAB Miller,0.237,['Corporate/M&A/Proposed Merger']
253,EU regulator backs approval for GSK injectable asthma drug,['regulator backs approval for GSK'],GSK,0.379,['Corporate/Regulatory']
254,Glencore fight back over debt fears lifts shares,['over debt fears'],Glencore,0.278,['Corporate/Risks']
255,"News FeedFTSE 100 movers: Ashtead jumps on strong interims; Glencore, BP in ...",['Ashtead jumps on strong interims'],Ashtead,0.461,['Stock/Fundamentals']
256,Brewer AB InBev seeks $275 bln tie-up with SABMiller,['seeks $275 bln tie-up with SABMiller'],SABMiller,0.295,['Corporate/M&A/Proposed Merger']
257,AB InBev looks to win over SABMiller investors,['looks to win over SABMiller investors'],SABMiller,0.276,['Corporate/M&A/Proposed Merger']
258,UPDATE 1-EU regulator backs approval for GSK injectable asthma drug,['EU regulator backs approval for GSK'],GSK,0.418,['Corporate/Regulatory']
259,Copper market may get a 2003-style supply shock from Glencore closures,['Copper market'],Glencore,-0.571,['Market/Market']
260,TalkTalk hires BAE Systems to investigate cyber attack,['TalkTalk hires BAE Systems'],TalkTalk,-0.113,['Corporate/Appointment/Staff Hiring']
261,Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle,['AB InBev Bid for SABMiller Ups Stake'],SAB Miller,0.236,['Corporate/M&A/M&A']
262,CompaniesAB InBev signals it won't go hostile for SABMiller,['signals it won't go hostile'],SAB Miller,0.107,['Corporate/Rumors/Scoop']
263,AstraZeneca diabetes drug combination faces delay after FDA rebuff,['faces delay after FDA rebuf'],AstraZeneca,-0.391,['Corporate/Risks']
264,Mylan Appoints Ranjan Ray Chaudhuri as Global Commercial Lead for Mylan's Over ...,['Appoints Ranjan Ray Chaudhuri as Global Commercial Lead'],Mylan,0,['Corporate/Appointment']
265,SABMiller revenue hit by weaker EM currencies,['hit by weaker EM currencies'],SAB Miller,-0.439,['Market/Currency']
266,UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,['rejects AB InBev's $104 bln takeover approach'],SAB Miller,0.172,['Corporate/M&A/Proposed Merger']
267,Market Report: Eight-day rally ends for FTSE 100 and Standard Chartered,['Market Report: Eight-day rally ends for FTSE 100'],Standard Chartered,0.008,['Market/Market']
268,AB InBev offers SABMiller $3 billion breakup fee,['offers SABMiller $3 billion breakup fee'],SAB Miller,0.197,['Corporate/M&A/M&A']
269,GSK joins China trade push as UK trumpets healthcare deals,['joins China trade push'],GSK,0.294,['Economy/Trade']
270,AB InBev ups offer for SABMiller as deadline looms,['ups offer for SABMiller'],SAB Miller,0.257,['Corporate/M&A/Proposed Merger']
271,Tesco PLC's Recovery Continues With A Â£250m Cash Infusion,['Tesco PLC's Recovery Continues'],Tesco,0.337,['Stock/Fundamentals']
272,"METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally",['METALS-Zinc surges 12 pct after'],Glencore,0.162,['Market/Volatility']
273,CompaniesUnilever sales lifted by ice cream in soft economy,['sales lifted by ice cream in soft economy'],Unilever,0.383,['Corporate/Sales']
274,AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,['Latest Bid Said Unlikely to Win SABMiller's Approval'],SABMiller,0.127,['Corporate/Rumors/Rumors']
275,Britain's FTSE forges ahead as Shire surges,['FTSE forges ahead as Shire surges'],Shire,0.512,['Stock/Price Action']
276,AB InBev attacks SABMiller bid rebuffal,['attacks SABMiller bid rebuffal'],SABMiller,-0.158,['Corporate/M&A/M&A']
277,Anheuser-Busch InBev Increases Offer for Rival SABMiller,['InBev Increases Offer for Rival SABMiller'],SABMiller,0.24,['Corporate/M&A/Proposed Merger']
278,Why I'd Buy ARM Holdings plc And BHP Billiton plc Today,['Why I'd Buy ARM Holdings plc And BHP Billiton plc Today'],BHP Billiton,0.424,['Corporate/Reputation/Scoop']
279,Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,['Are The 2 Banks I'd Buy Today'],Lloyds,0.434,['Corporate/Reputation/Scoop']
280,EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,['Dismisses Lufthansa Low-Cost Plan in Contest for Germany'],Lufthansa,-0.227,['Corporate/Risks/Price Competition']
281,"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources",['China's CNPC to unveil oil alliance - sources'],CNPC,0.318,['Corporate/Rumors/Scoop']
282,SAB's Chairman Digs In With Board Divided on InBev Offer,['Digs In With Board Divided on InBev Offer'],SABMiller,0.016,['Corporate/Reputation/Dispute']
283,Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,['form Joint Venture Limited Liability Company to Purchase ..'],Kinder Morgan,0.225,['Corporate/M&A/Joint Venture']
284,Supreme Court Upholds $236 Million Jury Award Against ExxonMobil,['$236 Million Jury Award Agains'],ExxonMobil,-0.459,['Corporate/Legal']
285,Standard Chartered's Shares Plunge 7% After Fitch Downgrade,['Shares Plunge 7%'],Standard Chartered,-0.812,['Stock/Coverage']
286,WPP wins race for 'programmatic buying' agency Essence Digital,['wins race for 'programmatic buying' agency Essence Digital'],WPP,0.238,['Corporate/M&A/M&A']
287,BHP Billiton share price: Brazil to sue Samarco for Â£3.5bn,['Brazil to sue Samarco for Â£3.5bn'],Samarco,-0.637,['Corporate/Legal/Lawsuit']
288,G4S slides on balance sheet worries,['slides on balance sheet worries'],G4S,-0.593,['Corporate/Risks']
289,FDA approves AstraZeneca drug for advanced lung cancer,['FDA approves AstraZeneca'],AstraZeneca,0.507,['Corporate/Regulatory']
290,HSBC appoints business leaders to board,['appoints business leaders to board'],HSBC,0.154,['Corporate/Appointment']
291,"HSBC shakes up board with two new business chiefs, three departures","['shakes up board with two new business chiefs, three departures']",HSBC,-0.074,['Corporate/Appointment']
292,AstraZeneca wins FDA approval for key new lung cancer pill,['FDA approval for key new lung cancer pill'],AstraZeneca,0.549,['Corporate/Regulatory']
293,UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,['cut 945 jobs as part of 3-year restructuring plan'],Lloyds,-0.266,['Corporate/Strategy']
294,Standard Chartered Shifts Emerging-Markets Strategy After Losses,['Shifts Emerging-Markets Strategy'],Standard Chartered,-0.461,['Corporate/Strategy']
295,AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,['Tagrisso Gets FDA Approval'],AstraZeneca,0.393,['Corporate/Appointment']
296,Severn Trent share price rises as first half profit inches up as customer ...,['share price rises as first half profi'],Severn Trent,0.526,['Stock/Price Action']
297,Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,['as sole legal seller of Libyan oil'],Glencore,0.037,['Corporate/Legal']
298,Lloyds to cut 945 jobs as part of three-year restructuring strategy,['as part of three-year restructuring strategy'],Lloyds,-0.532,['Corporate/Strategy/Reorganization']
299,AstraZeneca to Buy ZS Pharma for $2.7 Billion,['to Buy ZS Pharma for $2.7 Billion'],ZS Pharma,0.593,['Corporate/M&A/M&A']
300,"Ackman, in email, says supports Valeant CEO Pearson","['in email, says supports']",Valeant,0.166,['Corporate/Company Communication']
301,AstraZeneca sells US drug rights to Perrigo for $380 mln,['sells US drug rights to Perrigo for $380 mln'],Perrigo,0.326,['Corporate/M&A/M&A']
302,"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion","['AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion']",ZS Pharma,0.468,['Corporate/M&A/M&A']
303,CORRECTED-Shire to buy Dyax for about $5.9 bln,['Shire to buy Dyax for about $5.9 bln'],Shire,0.402,['Corporate/M&A/M&A']
304,Barclays poised to replace Sir Mike Rake as he heads for exit,['poised to replace Sir Mike Rake as he heads for exit'],Barclays,0.077,['Corporate/Appointment']
305,AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,['AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal'],ZS Pharma,0.52,['Corporate/M&A/M&A']
306,AstraZeneca shares climb 3% as drug maker ups profits forecasts,['shares climb 3% as drug maker ups profits forecasts'],AstraZeneca,0.64,"['Stock/Price Action/Bullish', 'Corporate/Financial/Financial Results/Earnings']"
307,Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,['Peroni and Grolsch put up for sale as '],SABMiller,0.551,['Corporate/Sales/Sales']
308,easyJet expects resilient demand to withstand security fears,['expects resilient demand to withstand security fears'],easyJet,0.165,['Corporate/Risks']
309,Compass Group says positive for year ahead,['says positive for year ahead'],Compass Group,0.634,['Stock/Price Action/Future Price/Direction']
310,US dollar wipes out sales gains for SABMiller,['wipes out sales gains for SABMiller'],SABMiller,-0.582,['Corporate/Sales/Sales']
311,"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",[' underlying sales rise'],SABMiller,0.043,['Corporate/Sales/Sales']
312,UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,['lift SABMiller's quarterly underlying sales'],SABMiller,0.429,['Corporate/Sales/Sales']
313,Valeant CEO Pledges to Heed Critics After `Painful' Experience,['Heed Critics After `Painful' Experience'],Valeant,-0.381,['Corporate/Company Communication']
314,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",['No real aspect?'],Aviva,0.324,['Corporate/Company Communication']
315,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",['No real aspect?'],Direct Line Insurance Group PLC,0.345,['Corporate/Company Communication']
316,StanChart and RBS struggle in Bank of England stress tests,['RBS struggle in Bank of England stress tests'],RBS,-0.738,['Economy/Central Banks']
317,StanChart and RBS struggle in Bank of England stress tests,['struggle in Bank of England stress tests'],Standard Chartered,-0.39,['Corporate/Regulatory']
318,Barclays sells benchmark indices unit to Bloomberg,['sells benchmark indices unit'],Bloomberg,0.281,['Corporate/Strategy/Divestment']
319,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",['will all cut petrol prices as oil falls ...'],Morrisons,-0.251,['Stock/Price Action/Future Price']
320,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",['will all cut petrol prices as oil falls ...'],Sainsbury,-0.259,['Corporate/Financial/Bankruptcy/Entering bankruptcy']
321,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",['will all cut petrol prices as oil falls ...'],Tesco,-0.222,['Stock/Price Action/Future Price']
322,"EU drops Shell, BP, Statoil from ethanol benchmark investigation",['benchmark investigation'],Shell,0.276,['Stock/Insider Activity/Insider Trading']
323,"EU drops Shell, BP, Statoil from ethanol benchmark investigation",['benchmark investigation'],Statoil,0.294,['Stock/Insider Activity/Insider Trading']
324,AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,['Explores Potential Deal '],AstraZeneca,0.372,['Corporate/M&A/Joint Venture']
325,Shell and BG Shareholders to Vote on Deal at End of January,['Shareholders to Vote on Deal at End of January'],Shell,0,['Corporate/Sales/Deal']
326,AstraZeneca chases Acerta to secure next cancer drug winner,['chases Acerta to secure next cancer drug winner'],AstraZeneca,0.519,['Stock/Buyside/Stock Buyside']
327,CompaniesTesco off to a bad start over Xmas â€“ Kantar,['off to a bad start over Xmas'],Tesco,-0.604,['Stock/Price Action']
328,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",['emerge as potential bidders for'],Julius Baer,0.31,['Stock/Buyside/Stock Buyside']
329,Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,['Are Red-Hot Growth Stars'],Dixons Carphone,0.766,['Corporate/Dividend Policy/Dividend/Dividend going up']
330,BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,['to buy Wilshire Bancorp in $1 bln deal'],Wilshire Bancorp,0.818,['Corporate/M&A']
331,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,['price jumps on report of Comcast's NBCUniversal'],Comcast,0.623,['Stock/Price Action']
332,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,['share price jumps on report of'],ITV,0.611,['Stock/Price Action/Current Price/Stock Price']
333,Glencore Studies Possible IPO for Agricultural Trading Business,['Possible IPO for Agricultural Trading Business'],Glencore,0.408,['Stock/IPO']
334,Can Christmas Save Sainsbury's plc And Tesco plc?,['Can Christmas Save..... ?'],Tesco,-0.175,['Corporate/Rumors/Rumors']
335,UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,[' boosts respiratory unit with $575 mln Takeda deal'],Takeda,0.47,['Corporate/M&A/']
336,Bilfinger Industrial Services win Â£100m BP contract extension,['win Â£100m BP contract extension'],BP,0.113,['Corporate/Sales/Deal']
337,"Standard Chartered, RBS Escape Capital Raising in Stress Test",['Escape Capital Raising in Stress Test'],RBS,0.335,['Economy/Central Banks']
338,"Standard Chartered, RBS Escape Capital Raising in Stress Test",['Escape Capital Raising in Stress Test'],Standard Chartered,0.321,['Corporate/Regulatory']
339,AstraZeneca weighing up Acerta bid to secure blood cancer drug,['weighing up Acerta bid to'],AstraZeneca,0.284,['Stock/Buyside/Stock Buyside']
340,2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,['2 Turnaround Buys'],Home Retail Group,0.492,['Economy/Central Banks/Monetary Policy/Monetary Policy - SNB']
341,L&G completes UK's largest medically underwritten bulk pension risk deal,['completes UK's largest medically underwritten bulk pension risk dea'],L&G,0.25,['Corporate/Risks']
342,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,['to buy Baxalta for $32 billion after 6-month pursuit'],Shire,0.437,['Corporate/M&A/M&A']
343,Kingfisher share price slides on cost to implement new strategy,['share price slides on cost to'],Kingfisher,-0.786,['Stock/Price Action']
344,Shire says internal synergy goals from Baxalta deal higher,['says internal synergy goals from Baxalta deal higher'],Shire,0.287,['Corporate/Company Communication/Dividend']
345,"European shares plunge, roiled by BHP and oil; hopes turn to ECB","['shares plunge,']",BHP,-0.736,['Economy/Central Banks/?']
346,Morrisons and Debenhams surprise City with Christmas bounce back,['with Christmas bounce back'],Debenhams,0.573,['Stock/Price Action/Volatility']
347,Morrisons and Debenhams surprise City with Christmas bounce back,['surprise City with Christmas bounce back'],Morrisons,0.619,['Stock/Price Action/Volatility']
348,"Britain's FTSE falls back with Ashtead, commodities under pressure","['FTSE falls back with Ashtead,']",Ashtead,-0.59,['Market/Volatility']
349,Tesco shares jump 6% after Christmas sales beat expectations,['jump 6% after Christmas sales beat expectations'],Tesco,0.814,['Corporate/Sales']
350,"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",['meet Italy econ minister as M&A talk heats up'],UBI,0.133,['Corporate/Risks/Extraordinary Meeting']
351,CompaniesHome Retail trims gains but is considered 'in play',['trims gains but is considered 'in play''],Home Retail,0.135,['Stock/Price Action']
352,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,['says to partner with Kirin if'],SABMiller,0.577,['Corporate/Sales/Partnership']
353,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,['says to partner with Kirin if'],San Miguel,0.19,['Corporate/Sales/Partnership']
354,Investors Remain Skeptical About Shell-BG Deal,['Investors Remain Skeptical About Shell-BG Deal'],Shell,-0.266,['Corporate/Rumors/Rumors']
355,MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,['MarketsShire up 2.5% '],Shire,0.487,['Stock/Buyside/Stock Buyside']
356,Shire share price under pressure after $32bn Baxalta deal,['share price under pressure after $32bn Baxalta deal'],Baxalta,-0.198,['Stock/Price Action']
357,Shire share price under pressure after $33bn Baxalta deal,['share price under pressure after $32bn Baxalta deal'],Shire,-0.186,['Stock/Price Action/Volatility']
358,Valeant Names Interim Leader as CEO Remains Hospitalized,['Interim Leader as CEO Remains Hospitalized'],Valeant,0,['Corporate/Appointment']
359,Valeant Said to Name New CEO With Pearson Still Hospitalized,['Said to Name New CEO With Pearson Still Hospitalized'],Valeant,0.015,['Corporate/Appointment']
360,Shares in BAE Systems hit 10-month high on rating upgrade,['hit 10-month high on rating upgrade'],BAE,0.905,['Stock/Coverage']
361,Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,['to submit bid next week'],SABMiller,0.236,['Stock/Buyside/Stock Buyside']
362,CompaniesDixons Carphone to close 134 UK stores as sales jump,['to close 134 UK stores as sales jump'],Dixons Carphone,0.144,['Corporate/Sales']
363,"Broker tips: RBS, Croda, Sage",['Broker tips:'],RBS,0.381,['Corporate/Rumors/Rumors']
364,"Broker tips: RBS, Croda, Sage",['Broker tips:'],Sage,0.393,['Corporate/Rumors/Rumors']
365,Shell share price: Standard Life announce position against BG acquisition,['Standard Life announce position against BG acquisition'],Shell,-0.134,['Corporate/M&A/M&A']
366,Shell share price: Standard Life announce position against BG acquisition,['Standard Life announce position against BG acquisition'],Standard Life,-0.099,['Corporate/M&A/M&A']
367,Tesco share price down as grocer faces SFO investigation outcome,['share price down'],Tesco,-0.542,['Stock/Price Action']
368,"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise","['Britain's FTSE outperforms Europe, Royal Mail and Tesco rise']",Tesco,0.439,['Market/Volatility/Volatility']
369,Greene King's third quarter sales boosted by festive season,['third quarter sales boosted'],Greene King,0.363,['Corporate/Sales']
370,InterContinental Hotels Group share price climbs on $1.5bn special dividend,['$1.5bn special dividend'],InterContinental Hotels Group,0.631,['Corporate/Dividend Policy']
371,Amazon to attack UK grocery market with Morrisons deal,['to attack UK grocery market'],Morrisons,0.333,['Market/Market/Market Outlook']
372,AstraZeneca share price: Acerta deal pays off with orphan drug status,['share price: Acerta deal pays off'],AstraZeneca,0.495,['Corporate/M&A']
373,"BHP Billiton posts big loss, slashes dividend",['slashes dividend'],BHP Billiton,-0.938,['Corporate/Dividend Policy']
374,Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,['Merged LSE and Deutsche BÃ¶rse'],LSE,0.136,['Corporate/M&A/M&A']
375,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",['Should You Buy....?'],Centrica PLC,0.1,['Corporate/Rumors/Scoop']
376,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",['Should You Buy....?'],John Wood Group PLC,0.103,['Corporate/Rumors/Scoop']
377,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,['Is Trouble Brewing At Legal & General Group Plc And Aviva plc?'],Legal & General Group Plc,-0.271,['Corporate/Rumors/Rumors']
378,BHP Billiton drags FTSE lower after slashing dividend,['after slashing dividend'],BHP Billiton,-0.604,['Corporate/Dividend Policy']
379,"BHP Billiton slashes dividend, posts $5.67 billion net loss",['slashes dividend'],BHP Billiton,-0.341,['Corporate/Dividend Policy']
380,CompaniesMeggitt profits hit by weak energy and military markets,['profits hit by weak energy and military markets'],Meggitt,-0.302,['Market/Market']
381,Royal Mail share price edges lower as group raises stamp price,['share price edges lower'],Royal Mail,-0.269,['Stock/Price Action']
382,GlaxoSmithKline starts hunt for successor to CEO Witty,['starts hunt for successor to CEO'],GlaxoSmithKline,0,['Corporate/Appointment/Executive Appointment']
383,"Rio Tinto swings to loss, drops dividend policy",['drops dividend policy'],Rio Tinto,-0.511,['Corporate/Dividend Policy']
384,France raises concerns over proposed LSE-Deutsche Boerse deal,[' raises concerns over proposed..'],LSE,-0.347,['Corporate/Risks/Sale Halt']
385,MarketsBP promotes upstream boss to deputy CEO,['promotes upstream boss to deputy CEO'],BP,0.066,['Corporate/Appointment']
386,Legal & General share price: Finance chief to step down,['Finance chief to step down'],Legal & General,-0.166,['Corporate/Appointment']
387,Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,['Barclays poaches new chief operating officer Paul Compton'],JP Morgan Chase,-0.092,['Corporate/Appointment/Executive Appointment']
388,Arm profits and sales up as shift away from mobile gains pace,['profits and sales up'],Arm,0.497,['Corporate/Sales']
389,Barclays appoints JPMorgan's Paul Compton as new COO,['appoints JPMorgan's Paul Compton as new COO'],Barclays,0.036,['Corporate/Appointment']
