Headlines,Time,Description
Cramer applauds Home Depot's tech-centered push: 'Tech isn't just FANG',2018-04-19,Jim Cramer explains why Home Depot's tech-focused hiring spree will help it continue to buck Amazon's retail takeover.
Cramer: Netflix's meteoric rise is helping the rest of FANG,2018-04-19,Jim Cramer pushes back against investors who hate the FANG stocks by tracking the success of streaming giant Netflix.
"Cramer tracks the 'very close' race to $1 trillion between Apple, Amazon, Alphabet and Microsoft",2018-04-19,Jim Cramer examines four massive tech giants to see which one is most likely to win the race to a $1 trillion in market cap.
Cramer's game plan: Earnings could push stocks higher,2018-04-20,Jim Cramer reviews his game plan for the week ahead and highlights the most important stocks and events to watch.
Cramer: Trump shouldn't be calling on OPEC for lower oil prices,2018-04-20,"Jim Cramer argues that OPEC is a ""shadow of its former self"" and no longer wields control over the price of oil."
"Cramer: Legalization is bad for marijuana pricing—right now, pot stocks look expensive",2018-04-20,Jim Cramer looks at the blazing bull market in marijuana to see if the stocks are good buys or about to go up in smoke.
"Cramer's lightning round: Edwards Lifesciences is simplifying heart surgery, and it's a buy",2018-04-20,"Jim Cramer flies through his take on callers' favorite stocks, including a biotech play."
Cramer Remix: The most eagerly anticipated report of the year,2018-04-20,Jim Cramer reveals the one report that Wall Street’s watching.
Cramer argues the trade war is more worrisome than 10-year Treasury yields approaching 3%,2018-04-23,Jim Cramer says investors should take advantage of 10-year Treasury yields hitting 3 percent and worry more about U.S.-China trade relations.
"Cramer walks back negative Newell call after proxy fight ends, gives blessing to buy",2018-04-23,Jim Cramer reviews the prospects at Newell Brands after a proxy fight with Carl Icahn and Starboard Value ends peacefully.
Cramer: Vaping is decimating the cigarette industry—and it could get even worse,2018-04-23,Jim Cramer addresses the recent pain in cigarette manufacturers' stocks and shares his outlook on the tobacco business.
Cramer's lightning round: Ingersoll-Rand is the right stock for this economic phase,2018-04-23,"Jim Cramer shares his take on callers' favorite stocks at lightning speed, including an industrial play."
Cramer Remix: How you should focus on Hasbro,2018-04-23,Jim Cramer reveals the best move for Hasbro now that it’s put Toys R Us in the rearview mirror.
Cramer Remix: Navigating buying opportunities in tech amid a sell-off,2018-04-24,Jim Cramer explains why buying shares of Alphabet in the midst of a sell-off could be a good opportunity for investors.
Cramer says Alphabet's recent declines are a buying opportunity,2018-04-24,CNBC's Jim Cramer says Alphabet's recent stock declines are a buying opportunity.
Cramer's lightning round: Wait for Take Two's earnings before buying,2018-04-24,Jim Cramer's suggestions for stock picks during the lightning round. 
Cramer: Be careful what you say  Eeven red-hot earnings can’t hold up in this sell-off,2018-04-24,CNBC's Jim Cramer says CEOs need to be careful. Even the red-hot earnings can't hold up if they say the wrong thing.  
Cramer's charts could signal trouble in the market,2018-04-24,Jim Cramer's charts could signal trouble in the market. But it might also be nothing. 
Cramer: Don't panic over the rising 10-year Treasury yield,2018-04-25,Jim Cramer says investors don't need to panic over the rising 10-year yield. 
"Bill Ackman's bet against Herbalife was 'dangerous,' CNBC's Scott Wapner says",2018-04-25,Jim Cramer and Scott Wapner discuss Wapner's new book about the epic battle between investing legends Carl Icahn and Bill Ackman.
Market by midterms when President's approval below 50%,2018-04-26,Kensho stat of the day. Stocks tend to perform well from May through election day in midterms years when the sitting president has an approval rating below 50%. 
Cramer: Reevaluate your portfolio during market volatility. Don't buy more!,2018-04-26,"Jim Cramer tells investors that market swings could be a chance to reevaluate their portfolios, but not necessarily run out and buy more. "
Cramer’s strategy for dealing with market volatility,2018-04-26,Jim Cramer fields calls from some of America's investors and has a few strategies to consider before making a move.  
Cramer's lightning round: Teva Pharmaceuticals is 'not good enough' for your portfolio,2018-04-26,Jim Cramer helps callers quell their fears on a few key stocks with first-quarter earnings season in full swing.
Cramer Remix: These tech titans aren’t breaking the bank - let them spend,2018-04-26,Jim Cramer breaks down why you should embrace the big spending by tech companies.
When 10Y/2Y spread get under 40 basis points,2018-04-26,"What happens when the 10 year and two year get to under 40 basis points. Your data partners at Kensho show that stocks pop a month later. 4% for the Nasdaq, close to 3% for the S&P and 2.75% for the Dow. "
Cramer: Domino's Pizza might have the best earnings report this season,2018-04-26,"Jim Cramer says Domino's Pizza might have the best earnings report this season. The ""Mad Money"" host talks to outgoing CEO Patrick Doyle and his successor Ritch Allison. "
Cramer's lightning round: Now is the time to buy Walgreens' stock,2018-04-26,"Jim Cramer flies through his take on callers' favorite stocks in the lightning round, including a downtrodden pharmaceutical play."
Cramer: Advanced Micro Devices is a good buy for long-term investors,2018-04-26,Jim Cramer says Advanced Micro Devices is back from near-death. Here's why you should buy. 
Cramer Remix: Why Whirlpool’s stock is not worth the risk,2018-04-26,Jim Cramer issues a new call on Whirlpool after first quarter earnings and the president’s tariffs.
Cramer's game plan: This market lacks clarity. Here's how to manage,2018-04-27,Jim Cramer reviews his game plan for the week ahead and highlights the most important stocks and events to watch.
Cramer: Apple has the most to lose from a trade war,2018-04-27,Jim Cramer compares the impact of tariffs on Apple and Walmart to see which company would take a harder hit from increased U.S.-China tensions.
Cramer: Big tech is behind the market rally,2018-04-27,Jim Cramer says top technology companies like Facebook and Amazon are behind today's market rally. 
Cramer Remix: Microsoft and Intel could rule the world again,2018-04-27,Jim Cramer says tech earnings put him into a time machine going back to the 1990s when “Wintel Ereigned supreme.
Cramer Remix: The world has turned on this sector,2018-04-30,Jim Cramer argues that investors have left the industrial sector behind.
Cramer: T-Mobile's John Legere could be the ticket to Sprint merger approval,2018-04-30,Jim Cramer explains why the T-Mobile-Sprint merger winning regulatory approval isn't as ridiculous as some might think.
Cramer's lightning round: Corning's stock is an unnecessary victim of T-Mobile-Sprint merger,2018-04-30,"Jim Cramer shares his take on callers' favorite stocks at lightning speed, including an industrial play."
"Cramer: Mergers, value and earnings surprises are sending stocks higher—but they may not be enough",2018-04-30,Jim Cramer spots opportunities in the increasingly fickle stock market and wonders if former leadership sectors can recover.
Allergan CEO says Botox maker's new depression drug could be an 'absolute game-changer',2018-04-30,Jim Cramer sits down with Allergan Chairman and CEO Brent Saunders after earnings to hear about the pharmaceutical giant's latest ventures.
Cramer's charts signal strength ahead for energy and industrial stocks like General Electric,2018-05-01,Jim Cramer and technician Marc Chaikin review the charts to find that industrial and energy stocks could be the next to rebound.
Cramer reflects on Apple earnings after speaking with CEO Tim Cook,2018-05-01,Jim Cramer shares his take on Apple's earnings beat after hearing from Apple CEO Tim Cook.
"Cramer: The selling has gone too far, especially after Trump's tax cuts",2018-05-01,Jim Cramer sees too many positive data points to make sense of the widespread weakness in the stock market.
Cramer Remix: Great expectations are the bane of this market,2018-05-01,Jim Cramer gets to the bottom of the market action and explains how stocks are becoming victim to high expectations.
Cramer's lightning round: Get out of Hi-Crush before you get crushed,2018-05-02,"Jim Cramer rattles off his take on callers' favorite stocks, including an oil play that could slide."
Cramer pinpoints the 4 things that saved Facebook from its Cambridge Analytica scandal,2018-05-02,"Jim Cramer says earnings, Snap and Facebook's management rescued the social media giant from its data-mining rut."
Cramer: You'll miss out if you ignore these giant stock buybacks,2018-05-02,"Jim Cramer highlights large share repurchase programs at Apple, Boeing and others in a market that's grown sour on buybacks."
Cramer's lightning round: Danaher is one of my favorite charitable trust holdings,2018-05-02,"Jim Cramer flies through his take on callers' favorite stocks, including one owned by his charitable trust."
Cramer Remix: Apple could have just signaled that Trump will make a trade deal with China,2018-05-02,Jim Cramer is rethinking trade and China after speaking with Apple CEO Tim Cook.
Cramer thanks Tesla CEO Elon Musk 'for telling the truth' after boorish conference call,2018-05-03,"Jim Cramer says Tesla's post-earnings analyst call was CEO Elon Musk's ""best conference call ever."""
Cramer's lightning round: Don't buy Monster Beverage—it's running out of steam,2018-05-03,"Jim Cramer zips through his take on callers' favorite stocks, including a beverage maker under pressure."
Market volatility is not over: Wall Street strategist,2018-05-03,"Investors should expect more volatility this year, says Wall Street veteran Nicholas Colas. "
Cramer: Buy MGM Resorts despite the casino stock's 'hideous pullback',2018-05-03,Jim Cramer details the difference between a broken stock and a broken company using hotel operator MGM Resorts as an example.
"Cramer Remix: Elon Musk’s conference call was his best, ever",2018-05-03,Jim Cramer explains why the visionary CEO should be admired for telling the truth.
A big trade deal 'unlikely to happen' with Trump's team in China: Former government official,2018-05-03,"Former Department of Commerce official says a big trade deal ""is unlikely to happen,"" as Trump administration officials visit to China this week.    "
RBC market analyst: Tech is an area of risk in the stock market,2018-05-03,"""I do think you've got to see some other major sectors take over the leadership,"" says RBC's head of U.S. equity strategy, Lori Calvasina."
Cramer applauds Apple's emerging razor-razorblade model: This could be 'huge',2018-05-03,Jim Cramer doubles down on his praise of Apple after the company's second-quarter earnings report.
Cramer's game plan: This China-led strength could continue thanks to earnings,2018-05-04,Jim Cramer goes over key stocks and events he's watching next week as the market turns positive on trade news.
"Fresh off a key acquisition, Axon CEO touts benefits of body camera tech for police",2018-05-04,"Jim Cramer sits down with Axon Enterprise co-founder and CEO Rick Smith, who talks about his company's latest acquisition."
"Bitcoin's 'been a problem for us,' says CEO of top cybersecurity firm FireEye",2018-05-04,"Jim Cramer hears from Kevin Mandia, the CEO of FireEye, about the risks that cryptocurrencies pose to cybersecurity."
Cramer's lightning round: Kentucky Derby racetrack owner is a buy,2018-05-04,"Jim Cramer fires off his take on callers' favorite stocks, including a horse-racing play that's been a consistent winner."
Cramer reviews Berkshire Hathaway's top 5 stock positions,2018-05-04,"Jim Cramer goes over Berkshire Hathaway's top five portfolio positions as Warren Buffett's annual shareholder meeting in Omaha, Nebraska kicks off."
Cramer Remix: Why Apple is a better version of Procter & Gamble,2018-05-04,Jim Cramer explains why Apple could be more than just a tech play.
"Cramer on trade: China could wait out Trump's presidency to make a deal, and that's bad for stocks",2018-05-04,Jim Cramer reveals the market's new thesis on China and predicts what could happen if it comes true.
Here's why Kentucky Derby owner Churchill Downs sees digital as a massive growth engine,2018-05-05,The company that owns the Kentucky Derby has increased by 243 percent in the last five years thanks to new ventures and digital growth. 
"'We want to get cash out of the system' with mobile payments, Bank of America's digital chief says",2018-05-07,"Jim Cramer sits down with Michelle Moore, head of digital banking at Bank of America. Moore says artificial intelligence, voice and virtual payments are taking over the banking space."
"Cramer's lightning round: If you own stock in a gold company, you can take profits here",2018-05-07,"Jim Cramer rattles off his take on callers' favorite stocks, including a gold producer that could have limited near-term upside."
Cramer: Warren Buffett's aversion to iPhones might've been what kept him out of Amazon and Alphabet,2018-05-07,Jim Cramer wonders if Warren Buffett's reluctance to use Apple iPhones was what stopped his fund from investing in Amazon and Alphabet's stocks.
"Cramer commends Estee Lauder's CEO, advises buying beauty stock despite its poor performance",2018-05-07,Jim Cramer argues that Estee Lauder President and CEO Fabrizio Freda has made his cosmetics company a best-of-breed global leader.
"Cramer: Wall Street got Spotify's quarter all wrong—I'd be a buyer, not a seller",2018-05-07,Jim Cramer explains what went wrong with Spotify's first earnings report as a public company and why the results weren't as bad as investors thought.
Cramer Remix: GE just got a huge break—the stock may have bottomed,2018-05-08,Jim Cramer thinks General Electric’s worst days could be behind it thanks to the recent increase in oil prices.
Cramer Remix: Spotify delivered on earnings—here’s why investors dropped it anyway,2018-05-08,Jim Cramer explains why Spotify was punished for investors Eout-of-control expectations.
Cramer: Trump's Iran deal announcement showed just how 'stupid' this market is,2018-05-08,Jim Cramer explains the stock market's seemingly irrational response to the president's Iran deal announcement.
"For the first time since 2015, we're seeing organic growth: Valeant Pharma CEO",2018-05-08,"Jim Cramer sits down with Joseph Papa, the Chairman and CEO of Valeant Pharmaceuticals, after earnings to hear about his company's new products."
"Cramer: Charts flash bullish signs in shares of Caterpillar, Boeing and United Technologies",2018-05-08,Jim Cramer and technician Bob Lang inspect some industrials' stock charts to see if their shares can still surge higher.
Cramer's lightning round: Philip Morris could be a 'value trap' with the rise of Juul,2018-05-08,"Jim Cramer flies through his take on callers' favorite stocks, including a cigarette maker that could be in trouble."
Cramer's lightning round: The market's wrong on Constellation Brands,2018-05-09,"Jim Cramer shares his take on callers' favorite stocks in the lightning round, including a beer, wine and liquor maker."
Cramer Remix: Higher interest rates could create the leadership this market needs,2018-05-09,Jim Cramer explains how bank stock leadership could emerge from higher interest rates and why that’s good news for the market.
"Cramer defends Disney and Walmart's 'bold' investments after stocks fall on ESPN, Flipkart news",2018-05-09,Jim Cramer pushes back on the market's reaction to Disney expanding its ESPN offerings and Walmart taking a majority stake in Flipkart.
Cramer Remix: The one thing that’s keeping the market from tanking,2018-05-10,Jim Cramer thinks lack of trust in the oil futures could hold the key to this market.
"Cramer's lightning round: Unfortunately, now is the time to own defense stocks",2018-05-10,Jim Cramer zooms through his take on guests' favorite stocks in a special edition of the lightning round.
Cramer: Investors are waking up to the 'terribly inefficient' oil market,2018-05-10,Jim Cramer recalls the 2008 breakdown in oil prices and explains why investors' distrust of oil futures could help the crude market.
Etsy CEO: We're in a different business than Amazon and other big online retailers,2018-05-10,Jim Cramer sits down with Etsy CEO Josh Silverman at his company's headquarters to hear about how Etsy is carving its own space in the world of e-commerce.
"Cramer: Facebook, Amazon and Apple's quarters kickstarted this market rally",2018-05-10,Jim Cramer explains how earnings surprises from three tech giants gave way to a marketwide rally.
"Cramer vets biotech giants Biogen, Celgene, Gilead and Regeneron for positive prospects",2018-05-10,"Jim Cramer examines ""the four horsemen of biotech"" to see if their weakening stocks can regain momentum."
Cramer's game plan: Strong consumer spending could drive upside surprises,2018-05-11,Jim Cramer looks ahead to key stocks and events he'll watch as a slew of retail companies report earnings.
Cramer compares Michael Kors and Molson Coors and picks the better stock,2018-05-11,Jim Cramer weighs Michael Kors against Molson Coors and uses the drastically different companies to teach an investing lesson.
Cramer's lightning round: Sell Priceline parent on pricing pressure,2018-05-11,"Jim Cramer fires off his take on callers' favorite stocks, including a travel booking play that's seeing more competition."
Cramer: Forget Nvidia's slowing crypto franchise—this best-in-show stock is a buy,2018-05-11,Jim Cramer reiterates his bullish call on Nvidia after the chipmaking giant's earnings report.
Cramer Remix: The most beaten-down group in the entire market,2018-05-14,Jim Cramer dishes on the stock of Campbell Soup and its fate in the underperforming food sector.
Cramer: 3 reasons why this market rally should be taken seriously,2018-05-14,Jim Cramer outlines three reasons why this market rally should be taken seriously. 
Cramer Remix: The one stock that is being unjustly overlooked,2018-05-15,Jim Cramer details why shares in Disney have been stuck in this market.
"Cramer: FANG isn't dead, just giving the market a breather",2018-05-15,Jim Cramer explains the pain in the FANG cohort and why headstrong investors should stay the course.
Cramer calls on investors to give Home Depot the benefit of the doubt after earnings miss,2018-05-15,Jim Cramer defends Home Depot's earnings call despite the company's weaker than expected quarterly report.
Cramer: Disney's chart just flashed the scariest pattern in the book—but the stock could still go up,2018-05-15,Jim Cramer and technician Tim Collins take a close look at Disney's stock chart to unpack a worrisome pattern.
Cramer's lightning round: Take a pass on Bristol-Myers Squibb shares for now,2018-05-15,"Jim Cramer fires off his take on callers' favorite stocks, including a biopharmaceutical play facing a rival."
Cramer Remix: A lot of the negativity in the market is bogus,2018-05-16,"Jim Cramer breaks down why stocks are taking a pause, and it’s not due to the negative stories."
Cramer's lightning round: Don't buy Apple suppliers right now,2018-05-16,"Jim Cramer flies through his take on callers' favorite stocks, including a component maker."
"PayPal CFO sees opportunity in consumers who have mobile devices, but not bank accounts",2018-05-16,Jim Cramer sits down with PayPal CFO John Rainey to discuss how his company sees a nearly two-billion-person global opportunity.
PayPal CFO: Our merchants aren't interested in crypto—it's too volatile,2018-05-16,Jim Cramer gets PayPal CFO John Rainey's take on the cryptocurrency craze and whether his platform would ever take on the trend.
"Solid economy may not stay that way, says financial advisor. Here's how to protect your portfolio",2018-05-16,"Market sell-offs are an opportunity to insulate investor portfolios with stocks ""resilient"" to a recession, says one financial advisor."
Cramer: Shake Shack shares are too expensive right now,2018-05-16,Jim Cramer says shares of the American restaurant chain Shake Shack are too expensive. 
Cramer explains how Micron and Macy's stocks sparked a rally,2018-05-16,Jim Cramer breaks down how the unrelated stocks of Micron and Macy's managed to push the whole market higher.
Cramer fears Fed raising rates too quickly will halt a 'red hot' economy,2018-05-17,Jim Cramer worries the Fed could raise rates fast than expected after the release of U.S. jobless claims data on Thursday.
CEO of cannabis company says legal weed could result in fewer opioid prescriptions in the US,2018-05-17,Jim Cramer sits down with Canopy Growth CEO Bruce Linton after his company applied to list its shares on the New York Stock Exchange.
Cramer: This trade-led rally makes sense—just look at the retail sector,2018-05-21,Jim Cramer unpacks the market's response to the U.S.-China trade truce that sent the major averages higher on Monday.
"Fortnite may draw younger consumers to gaming for the long term, says Take-Two CEO",2018-05-21,Jim Cramer sits down with Take-Two Interactive Software Chairman and CEO Strauss Zelnick for an update on the video game space.
"Zillow's move into flipping homes is like Netflix's move into originals, CEO says",2018-05-21,Jim Cramer hears from Zillow Group CEO Spencer Rascoff about the company's recently announced move into flipping homes.
Cramer's lightning round: The bears are wrong about cruise ship stocks,2018-05-21,"Jim Cramer zips through his take on callers' favorite stocks, including a cruise line operator that might be overshooting expectations."
"Cramer Remix: If we see another pullback, buy this sector",2018-05-22,Jim Cramer reveals which oil plays could be worth eyeing.
Rent the Runway CEO: People should think about their closets like stock portfolios,2018-05-22,Jim Cramer hears from Rent the Runway co-founder and CEO Jennifer Hyman about how her company is revolutionizing retail.
Cramer's lightning round: Accounting issues at Flex mean you should sell the stock,2018-05-22,"Jim Cramer rattles off his take on callers' favorite stocks, including a tech manufacturer that recently reported earnings."
"Markets are failing to appreciate how much further earnings have to grow, asset manager says",2018-05-22,"The U.S. may be close to the peak of its earnings cycle, but earnings still have room to climb, according to asset manager NN Investment Partners"
Cramer Remix: Joint ventures in China may be a thing of the past,2018-05-22,"Jim Cramer explains how U.S. companies may soon sell products directly in China, and it could be huge."
"'I am worried about NAFTA,' says CEO of major US railroad serving Mexico and Canada",2018-05-22,Jim Cramer gets Union Pacific Chairman and CEO Lance Fritz's take on trade and the Trump administration's NAFTA talks.
"Cramer: If you want bigger gains, buy stocks that are selling off on panic",2018-05-23,Jim Cramer uses Amazon's stock to explain why buying broken stocks can boost investors' earnings.
"Cramer credits Tiffany's staggering post-earnings rally to new CEO, strong execution",2018-05-23,Jim Cramer unpacks the monster 23 percent run in shares of Tiffany after the jewelry maker's first-quarter earnings report.
Cramer's charts suggest investors buy Akamai and sell Walmart,2018-05-23,Jim Cramer and technician Marc Chaikin find clear buy and sell signals in the charts of Akamai Technologies and Walmart.
"China will someday be the largest cruise market in the world, Carnival Corp CEO says",2018-05-23,Jim Cramer sits down with Carnival Corporation CEO Arnold Donald on one of his company's ships to hear about developments in the cruise industry.
"Cramer's lightning round: I don't have a thesis for Blue Apron, so don't buy",2018-05-23,"Jim Cramer flies through his take on callers' favorite stocks, including a meal-kit play that's finding its footing."
Cramer Remix: Prepare yourself for more pain in homebuilding stocks,2018-05-23,Jim Cramer warns that it’s foolish to fight the bears when it comes to the homebuilders.
Cramer Remix: Don’t let this buying opportunity pass again,2018-05-24,Jim Cramer reveals why FMC Corp.’s recent dip is a prime time to buy the stock.
"Cramer: Inflation is a real worry, but it's 'far from permanent'",2018-05-24,Jim Cramer pushes back on concerns about inflation by listing the economic factors keeping it at bay.
Cramer: The Netflix-Disney comparison reminds me of a famous Babe Ruth quote,2018-05-24,Jim Cramer addresses Netflix's stock passing Disney's in market cap and puts it in context with the current investing environment.
Cramer's lightning round: I was wrong about Roku—it's a good company,2018-05-24,"Jim Cramer shares his rapid-fire take on callers' favorite stocks, including a streaming company he thought would be more threatened by Amazon."
Stock market plunge is a buying opportunity: Analysts,2018-05-29,"Today's market declines are a buying opportunity, say analysts. "
Salesforce CEO Marc Benioff: The economy is really ripping,2018-05-29,"Jim Cramer sits down with Salesforce founder, Chairman and CEO Marc Benioff to discuss the company's earnings results."
Cramer: Market panic will turn out to be buying opportunity,2018-05-29,Jim Cramer says sometimes uncertainties can lead to good outcomes.
Fed slow to raise interest rates amid political turmoil: Art Cashin,2018-05-29,"The Fed will likely be slow to raise interest rates amid political turmoil, says veteran trader Art Cashin. "
"Bitcoin is the market's new fear gauge, investor says",2018-05-29,"Bitcoin may be the market's new fear gauge, according to Brian Stutland of Equity Armor Investments."
Cramer's charts show there could be more pain ahead for oil,2018-05-30,CNBC's Jim Cramer and technician Carley Garner took to the charts to investigate the likelihood of a further drop or a possible rally in oil.
Cramer: 5 reasons the stock market rebounded,2018-05-30,"The stock market rebound on Wednesday was yet another example of panic being replaced by rationality, says ""Mad Money"" host Jim Cramer."
"PVH CEO on China tariff threats: ‘Cooler heads will prevail E"" 7:05  PM ET Wed",2018-05-30,"""Mad Money"" host Jim Cramer sits down with PVH CEO Manny Chirico to talk tariffs, China and the company's earnings results."
"Cramer: We blew it on 3M, but it’s too late to sell",2018-05-31,"If last quarter was a temporary blip, 3M's rebound could be terrific when the industrial company gets its act together, says “Mad Money Ehost Jim Cramer."
"The US is the hottest market for trading, analyst says",2018-05-31,Bessemer Trust's Rebecca Patterson says the U.S. is the best market for investing. 
"Cramer: Steel producer Nucor the biggest winner on Trump tariffs, a ‘gift Eto investors",2018-05-31,"US steelmaker Nucor is the biggest single beneficiary of President Donald Trump's tariffs, says ""Mad Money"" host Jim Cramer."
Cramer's game plan: Take on more risk as the jobs boom boosts stocks,2018-06-01,Jim Cramer reviews the stocks and events he's watching in the week ahead after a strong U.S. jobs report.
Cramer: This jobs report shows we have the 'perfect economy' for stocks,2018-06-01,"Jim Cramer applauds Friday's employment report, in which nonfarm payrolls increased by 223,000 in May."
Cramer offers 'cloud prince' Coupa Software as an attractive apolitical investment,2018-06-01,Jim Cramer zooms in on cloud provider Coupa Software in his search for strong secular stocks.
Cramer's lightning round: I think GE's shares are bottoming,2018-06-01,"Jim Cramer fires off his take on callers' favorite stocks, including a high-profile industrial undergoing a turnaround."
Cramer Remix: This weak jobs number doesn’t represent the strength of the economy,2018-06-01,Jim Cramer reveals why a lower health care employment number shouldn’t have investors worried.
Cramer Remix: What critics were missing about Apple’s business,2018-06-04,Jim Cramer reveals the juicy detail about Apple’s business model that most critics didn’t take into account.
Cramer reflects on Italy panic: 'A little context could've gone a long way',2018-06-04,Jim Cramer wishes investors would've approached last week's market turmoil in Italy differently.
"Cramer's charts of Chipotle, Del Taco and El Pollo Loco track the fast-casual dining comeback",2018-06-04,"Jim Cramer takes to the charts with technician Bob Lang to weigh the risk-reward in the stocks of Chipotle, Del Taco and El Pollo Loco."
Cramer: It's not just FANG—here are the other tech stocks that pushed the Nasdaq to new highs,2018-06-04,Jim Cramer creates a new acronym to explain how the Nasdaq hit a fresh all-time high on Monday.
Cramer's lightning round: I don't like Monster Beverage anymore,2018-06-04,"Jim Cramer flies through his take on callers' favorite stocks, including a beverage maker he can no longer recommend."
Cramer issues a warning to the bulls: Too many groups are lagging behind the market leaders,2018-06-05,Jim Cramer tells investors to curb their expectations until weaker market sectors join the rally.
Cramer: Twitter's move into the S&P 500 is a metaphor for where business is headed,2018-06-05,Jim Cramer muses on what Twitter's entry into the S&P 500 index means for the future of the stock market.
Cramer's lightning round: 'I beg you' to hold the stock of Hasbro,2018-06-05,"Jim Cramer rattles off his take on callers' favorite stocks, including a toymaker recovering from Toys R Us' bankruptcy."
Cramer Remix: What the bullish moves in retail signal for the American consumer,2018-06-05,"Jim Cramer dissects the red-hot leadership in retail, and whether investors should be shopping or dropping the group."
Former SoftBank and Google exec Nikesh Arora talks taking over Palo Alto Networks with outgoing CEO,2018-06-06,Jim Cramer hears from Palo Alto Networks' incoming CEO Nikesh Arora and outgoing CEO Mark McLaughlin as he prepares to step down.
Cramer: Boeing's rally is a 'terrific sign' that China fears are overblown,2018-06-06,Jim Cramer takes Boeing's stock strength as a sign that trade tensions with China won't weigh too heavily on the aerospace colossus.
Camping World CEO Marcus Lemonis: People misunderstood our latest acquisition,2018-06-06,Jim Cramer sits down with Camping World CEO Marcus Lemonis to dissect the RV maker's growth prospects and recent weakness.
Cramer's lightning round: Auto weakness shouldn't weigh on Illinois Tool Works,2018-06-06,"Jim Cramer shares his take on callers' favorite stocks at lightning speed, including a toolmaker under pressure."
Cramer Remix: Millennials aren’t swaying the market as much as you think,2018-06-06,"Jim Cramer breaks down why millennial buying patterns are worth noting, but not reason enough to buy a stock."
Qualcomm CEO on 'hostile' Broadcom bid: You have to engage with companies 'through the front door',2018-06-07,"Jim Cramer gets the latest on Qualcomm's bid for NXP Semiconductors, its dispute with Apple and the failed Broadcom deal from CEO Steven Mollenkopf."
"Cramer's lightning round: The smart money might be buying Mattel, but I can't recommend it",2018-06-08,"Jim Cramer zooms through his take on callers' favorite stocks, including a toymaker attracting investors."
Oath CEO Tim Armstrong: Verizon's CEO shift is a 'pure signal' that it'll lead in 5G,2018-06-08,"Jim Cramer sits down with Tim Armstrong, the CEO of Verizon subsidiary Oath, to discuss Verizon's push towards faster mobile internet."
Cramer's game plan: Worry doesn't pay off in this market,2018-06-08,Jim Cramer flags key stocks and events in the week ahead after a particularly resilient week for Wall Street.
Cramer Remix: What Trump’s endgame with China could really be about,2018-06-11,Jim Cramer breaks down President Trump’s strategy on trade and why he has taken a hard stance with China.
Cramer's lightning round: Both Discovery and Viacom could be undervalued,2018-06-11,"Jim Cramer zips through his take on callers' favorite stocks, including two television plays."
Cramer: Eli Lilly's share price recovery symbolizes this market's attitude,2018-06-11,Jim Cramer connects the recent action in Eli Lilly's stock with how analysts are interpreting the market layout.
The tech sector now is reminiscent of the 1990s dotcom bubble: Wall Street's Jim Paulsen,2018-06-11,The Leuthold Group chief investment strategist sees similar warning signs in today's tech sector that led to the early 2000 bust.
Cramer: I was wrong about Jack Dorsey—the Twitter and Square CEO 'deserves a lot more credit',2018-06-12,"Jim Cramer walks back his criticism of Twitter and Square chief Jack Dorsey, instead praising him for a ""job well done."""
Cramer tries to decode Trump's trade strategies with 5 new theories,2018-06-12,Jim Cramer breaks down how President Donald Trump may be approaching United States trade policy.
Cramer on AT&T-Time Warner ruling: 'I thought the government made a better case than this',2018-06-12,Jim Cramer breaks down what AT&T's win in its case to buy Time Warner means for the telecommunications industry and others.
"Cisco CEO says new Google Cloud partnership 'plays an enormous role' in security, policy",2018-06-12,Jim Cramer gets Cisco Systems Chairman and CEO Chuck Robbins' take on his computer hardware company's latest venture with Alphabet's Google.
Cramer: Edwards Lifesciences' stock chart just flashed a hugely bullish pattern,2018-06-12,Jim Cramer and technician Rob Moreno examine the daily stock chart of Edwards Lifesciences to find a prime buying opportunity.
Cramer's lightning round: I can't get people to buy Alibaba's stock,2018-06-12,Jim Cramer laments investors' distaste in the e-commerce conglomerate while taking questions in the lightning round.
Cramer Remix: Chasing this stock’s high may be worth your while,2018-06-12,Jim Cramer breaks down how shares of RH could continue to soar.
Cramer Remix: Traditional media is on a collision course with FANG,2018-06-13,Jim Cramer explains what the AT&T-Time Warner ruling reveals about the broader media industry.
Cramer introduces the market's newest high-quality stock group: The $100 billion club,2018-06-13,Jim Cramer surveys the 15 newest companies to reach $100 billion market caps and points out the best investments in the group.
"Cramer on Fed rate hike: 'Owning stocks just got harder,' but that's no reason to panic",2018-06-13,Jim Cramer breaks down what the Federal Reserve's Wednesday interest rate hike means for investors.
"People missed 'exactly what we told them' about RH before furniture maker's 30% jump, CEO says",2018-06-13,Jim Cramer sits down with RH CEO Gary Friedman to hear about the home design company's latest lines of business.
Cramer's lightning round: I was wrong to sell Magellan Midstream Partners,2018-06-13,Jim Cramer admits he was wrong about selling a pipeline play for his charitable trust in the lightning round.
"Adobe CEO: We want to have the only 'end-to-end solution' for video, immersive media like AR",2018-06-14,Jim Cramer hears from Adobe Systems Chairman and CEO Shantanu Narayen after earnings about where he sees his digital media company going.
"Cramer: No matter who wins the Fox battle, Disney and Comcast are both 'substantially undervalued'",2018-06-14,Jim Cramer explains how the market is revaluing the stocks of Disney and Comcast amid a bidding war for a chunk of Twenty-First Century Fox.
