Time,Headlines
2018-03-13,Apple to buy ‘Netflix for magazines ETexture
2018-03-13,Persimmon chief's £75m bonus 'almost unfathomable'  ERaab
2018-03-13,Accountability and UK university governance
2018-03-13,GKN rejects Melrose's new hostile £8bn bid
2018-03-13,Spring statement 2018: the chancellor's key points at a glance
2018-03-13,Guardian Opinion cartoon  Peter Schrank on Philip Hammond and austerity – cartoon
2018-03-13,Business live  Nasdaq hits fresh record high as blowout US jobs report cheers markets - as it happened
2018-03-13,CBI head: Labour's nationalisation plans as damaging as 'no deal' Brexit
2018-03-13,There’s no light at the end of this tunnel. Just more pain
2018-03-13,"Hotels, restaurants and pubs plan hiring spree amid Brexit fears"
2018-03-13,China unveils shake-up of bank regulation to rein in credit spree
2018-03-13,Paul Keating backs Labor's plan to axe cash refunds for wealthy investors
2018-03-13,"Edgy urban apartments, lavish promos  Eand a trail of angry investors"
2018-03-13,Brexit weekly briefing  Brexit weekly briefing: EU has no taste for pick and mix deal
2018-03-13,Spring statement 2018: what to look out for in Philip Hammond's speech
2018-03-13,"Nils Pratley on finance  


  Melrose’s £8bn GKN bid may succeed – but it's still too mean"
2018-03-13,Qualcomm deal over as Trump blocks Singaporean chip maker's bid
2018-03-13,"Goldman Sachs' Harvey Schwartz exits, clearing way for new CEO"
2018-03-14,"Keep the pennies  Ethey are worth millions of pounds, charities say"
2018-03-14,Shortcuts  Is ready-mashed potato Britain's most pointless pre-made food?
2018-03-14,"Grogonomics  


  Why South Australians are older, poorer and on their way interstate"
2018-03-14,Prudential to split into two companies to target Asia
2018-03-14,"No plans to scrap 1p and 2p coins, Downing Street says"
2018-03-14,Gender pay gap: what we learned in week three
2018-03-14,Former Equifax executive charged with insider trading after data breach
2018-03-14,"Toys R Us to shut all UK stores, resulting in 3,000 job losses"
2018-03-14,Dog gone: United Airlines mistakenly flies family German shepherd to Japan
2018-03-14,UK will need to impose tax rises of £30bn to balance budget  EIFS
2018-03-14,"I’m a loyal Sainsbury’s worker, but this pay deal is cheating us"
2018-03-14,Dog dies on United Airlines flight after being forced into overhead locker
2018-03-14,"The alternatives  


  Want to save your job and make more money? Buy out your boss"
2018-03-14,UK holiday firms urged to warn about risk of post-Brexit disruption
2018-03-14,"Debt charity says more than 600,000 people sought help last year"
2018-03-14,App delivery riders say they are paid as little as $6 an hour in Australia
2018-03-14,Morrisons delivers 17% rise in profits on back of surge in local food sales
2018-03-14,"Nils Pratley on finance  


  Green Investment Bank: why did ministers dodge the real problem?"
2018-03-14,The Guardian UK: Politics Weekly  The Alternatives: worker-owned businesses  Epodcast
2018-03-14,Consumer champions  Could my savings bomb with banks like Atom?
2018-03-15,Unilever picks Rotterdam as sole HQ but denies Brexit link
2018-03-15,"New oil threat looms over England's national park land, campaigners warn"
2018-03-15,'Trump’s agenda is anti-growth': Trump's new economic adviser in his own words
2018-03-15,From VR porn to Kidcoin: inside the cryptocurrency trade fair
2018-03-15,European commission rebuked over ex-chief's Goldman Sachs job
2018-03-15,Business live  Trade war fears weigh on markets as Trump's new adviser blasts China - business live
2018-03-15,"Nils Pratley on finance  


  Kremlin control of British Gas? It could have happened"
2018-03-15,"Happy eater  


  If you want to eat out, you should fork out"
2018-03-15,"Money talks  


  When will the penny drop? We don’t need pennies any more"
2018-03-15,"Nils Pratley on finance  


  Brexit to blame? Not in the case of Unilever"
2018-03-15,The upside  What to do with those divested billions? The only way is ethics
2018-03-15,Larry Kudlow: TV pundit to replace Gary Cohn as Trump's top economic adviser
2018-03-15,Unilever expected to pick Rotterdam over London for HQ
2018-03-15,Crocs loses EU court battle over patent claim
2018-03-15,Business live  Britain faces tax rises to eliminate deficit; trade war fears weigh on markets - as it happened
2018-03-15,Transforming leadership  Matt manages a team of people - he's never spoken to any of them
2018-03-15,"London cheapest it has been for overseas visitors in decades, says study"
2018-03-15,"If we truly cared about poor people, low-wage Britain wouldn’t exist"
2018-03-15,We know what’s wrong with the UK economy. Now it’s time to fix it
2018-03-15,"If business leaders want to regain our trust, they must act on climate risk"
2018-03-16,Welcome to Powder Mountain  Ea utopian club for the millennial elite
2018-03-16,The Guardian view on schools and austerity: more than a funding crisis
2018-03-16,Wetherspoons increases price of sugary soft drinks
2018-03-16,Goldman Sachs pay gap reveals men paid twice as much as women
2018-03-16,"Mortgage lenders taking increasing risks, warns Bank of England"
2018-03-16,Conviviality seeks £50m in rights issue after financial errors
2018-03-16,London slump shrinks north-south divide in house prices
2018-03-16,Regulator urges inquiry into breaking up big four accountancy firms
2018-03-16,Business live  Berkeley crushes hopes of extra new homes; US consumer confidence jumps - as it happened
2018-03-16,Presidents Club scandal casts shade over 'sleazy' property industry
2018-03-16,Topman withdraws T-shirt from sale after Hillsborough row
2018-03-16,Which items can't be recycled?
2018-03-16,Coles to be spun off into a standalone $18bn company by Wesfarmers
2018-03-16,Uber accused of silencing women who claim sexual assault by drivers
2018-03-16,Spotify touts future profitability as it announces trading to begin in April
2018-03-16,Mueller subpoenas Trump Organization for documents related to Russia  Ereport
2018-03-16,Uber offers to share journey data with London city planners
2018-03-16,Airbus warns over Melrose's £8bn GKN takeover
2018-03-16,HSBC pay gap reveals men being paid twice as much as women
2018-03-16,Make mine a magnum: the rise of supersize wine bottles in Britain
2018-03-18,May pledges to fine company bosses if they endanger staff pension funds
2018-03-18,"Observer business agenda  


  Simon Wolfson and Ray Kelvin: fashion’s one-club men"
2018-03-18,Property firms make millions buying and selling on MoD land
2018-03-18,We restaurateurs are all hopeless optimists. But this is a cry for your help
2018-03-18,Trump and trade tariffs: big lies founded on small truths
2018-03-18,The great British chef shortage: why eating out is under threat
2018-03-18,"Economics viewpoint  


  Trump is on path to full-scale trade war: first China, then Europe"
2018-03-18,"No CEO should earn 1,000 times more than a regular employee"
2018-03-18,More and more pubs are closing every day. Here’s how we saved ours
2018-03-18,Investors in Bitcoin and other cryptocurrencies face hefty tax bills
2018-03-18,"Business leader  


  Finland’s story shows equality is the best route to happiness"
2018-03-18,Russia investigation may turn to Ivanka Trump as Mueller examines empire
2018-03-18,"Russian elite must reveal how they paid for UK property, say MPs"
2018-03-18,"Mortgages are now the most affordable since the mid-1990s, says Halifax"
2018-03-18,Global energy giants forced to adapt to rise of renewables
2018-03-18,R&D can’t fly against the winds of austerity and Brexit
2018-03-18,Fiona Phillips: I was paid far less on GMTV than Eamonn Holmes
2018-03-18,Guardian event reviews  The Preston model  Eevent review: ‘Cities are looking to us for hope E
2018-03-18,Can Spotify and Dropbox finally prove that tech is a sound investment?
2018-03-18,Former Carillion finance directors expected to face investigation
2018-03-19,Of course homelessness is linked to Tory policies
2018-03-19,Activist investor plans shake-up at Barclays after building 5% share
2018-03-19,Micro Focus shares plunge by 46% as CEO departs
2018-03-19,Claire's: tween jewelry and ear piercing retailer files for bankruptcy
2018-03-19,"Project Syndicate economists  


  How economies could insure themselves against the bad times"
2018-03-19,Persimmon paid three executives a combined £104m in 2017
2018-03-19,Romance so white? Publishers grapple with race issues amid author protests
2018-03-19,Business made simple  How to make better decisions
2018-03-19,Gambling nearly took my life: betting terminals should have a £2 maximum stake
2018-03-19,"Ban new petrol and diesel cars in 2030, not 2040, says thinktank"
2018-03-19,Shopping mall owner Hammerson rejects French firm's £4.9bn offer
2018-03-19,"Developing countries at risk from US rate rise, debt charity warns"
2018-03-19,Is Trump right about free trade or is there a fair alternative?
2018-03-19,Jared Kushner's company routinely filed false New York City paperwork
2018-03-19,FRC investigates ex-Carillion directors over financial reporting
2018-03-19,High-interest 'doorstep loans' need to be regulated says charity
2018-03-19,Snapchat's UK ad revenue set to overtake Twitter's next year
2018-03-19,"Yanis Varoufakis: 'Like Theresa May, Macbeth is at the mercy of forces beyond his control'"
2018-03-19,‘Urgent regulation needed Eto stop abusive practices by letting agents
2018-03-19,CBI urges UK to avoid loss of up to €1bn a year in EU research funding
2018-03-20,"Subsidy-free renewable energy projects set to soar in UK, analysts say"
2018-03-20,French scoff at claim burgers are outselling classic ham baguettes
2018-03-20,Business live  UK inflation rate hits seven-month low as Brexit effect fades - business live
2018-03-20,UK drivers to save £35 after new curbs on whiplash claims
2018-03-20,Stub it out: Netflix criticised for too many smoking scenes
2018-03-20,ITV sets up working group to tackle 11.9% gender pay gap
2018-03-20,UK inflation is falling fast  Ethat's good and bad news
2018-03-20,'Beast from the east' knocks £1.5m off Ocado profits
2018-03-20,A bold idea to finally fix the NHS: make it independent
2018-03-20,Business breakthroughs  Waterstones boss James Daunt: 'Books still work and always will'
2018-03-20,Survey reveals which Easter eggs use the most packaging
2018-03-20,Britain should protect its last global champions
2018-03-20,Gambling watchdog fails to curb fixed-odds betting stakes to £2
2018-03-20,Jared Kushner's company faces inquiry over false building permits
2018-03-20,Unite says it has no confidence in Melrose's GKN takeover bid
2018-03-20,Inflation dips to 2.7% as impact of Brexit vote starts to fade
2018-03-20,Business live  Facebook's value slides by $36bn as data breach rocks shares - as it happened
2018-03-20,Ellen Barkin tweets accusation against Terry Gilliam after director's #MeToo comments
2018-03-20,Scrapping EU tariffs would do little to cut UK prices  Ethinktank
2018-03-20,"Nils Pratley on finance  


  Barclays wakes up to find a bull called Bramson in the shop"
2018-03-21,PwC charges more than £20m for first eight weeks of Carillion collapse
2018-03-21,Elon Musk wins approval for 'staggering' pay deal with potential $55bn bonus
2018-03-21,Manchester council to publish files used to bypass affordable housing quotas
2018-03-21,"Denying company tax cut to big business 'economically damaging', crossbenchers told"
2018-03-21,"Carpetright, Moss Bros, Kingfisher and New Look hit by retail woes"
2018-03-21,Chiltern Firehouse developer bidding to build east London film studio
2018-03-21,Lloyd’s of London slides to £2bn loss after major hurricanes
2018-03-21,"Facebook, Google and Amazon could pay 'fair' tax under EU plans"
2018-03-21,Brief letters  Diarrhoea simply cannot be forgotten
2018-03-21,UK earnings growing at fastest rate in more than two years
2018-03-21,"Bellway on track to build more than 10,000 homes this year"
2018-03-21,PwC faces MPs over accusations of ‘milking the Carillion cow dry E
2018-03-21,UK surge in housing costs for poorest 'worst in western Europe'
2018-03-21,Cities in north and Midlands dominate growth measure
2018-03-21,James Packer resigns as director of Crown Resorts
2018-03-21,Spain refuses to back withdrawal deal over Gibraltar concerns
2018-03-21,The Guardian view on the gender pay gap: enough excuses; time for action
2018-03-21,The Guardian view on fishing and Brexit: still on the hook
2018-03-21,Brief letters  Bring your brolly if you come to Ayrshire
2018-03-21,"Nils Pratley on finance  


  Facebook investors may want to quiz Mark Zuckerberg"
2018-03-22,UK interest rates stay on hold but Bank of England hints at rise
2018-03-22,Labour urges crackdown on Russian money laundering through Scotland
2018-03-22,De La Rue: what you need to know about firm that lost UK passport contract
2018-03-22,Business live  Global markets hit as Trump unveils China tariffs; Bank leaves rates on hold - as it happened
2018-03-22,Spoiler alert: Bank of England's hints of May rate rise are not subtle
2018-03-22,Marks & Spencer recruits industry veteran to turn around food halls
2018-03-22,"US imposes sanctions on China, stoking fears of trade war"
2018-03-22,Wanting to escape the office grind doesn’t make you a snowflake
2018-03-22,UK retail sales rise eases pressure on high street
2018-03-22,Turkey to send drill ship to contested gas field off Cyprus
2018-03-22,Business made simple  Stuck in meetings all day? Salvation is at hand
2018-03-22,This is just fracking by another name
2018-03-22,Interserve agrees refinancing deal to ease fears over its future
2018-03-22,Bargain Booze owner Conviviality must raise £125m to halt bankruptcy
2018-03-22,Federal Reserve raises interest rates again amid 'strong' jobs market
2018-03-22,Undocumented workers find new ally as unions act to halt deportations
2018-03-22,Post-Brexit passports set to be made by Franco-Dutch firm
2018-03-22,"The long read  ‘Cows carry flesh, but they carry personality too E the hard lessons of farming"
2018-03-22,"Nils Pratley on finance  


  The UK should get behind the EU's radical tax plan for tech firms"
2018-03-22,Business live  Federal Reserve raises US interest rates and says businesses fear trade wars - as it happened
2018-03-23,Pineapples set to topple avocados with Britons wanting more
2018-03-23,"WeGeneration work, rest and play together in Adam Neumann's empire"
2018-03-23,GKN major shareholder Elliott Advisors backs Melrose's takeover bid
2018-03-23,Prezzo to close almost 100 restaurants with loss of about 500 jobs
2018-03-23,Business live  US trade war: Dow recovers in early trading after China signals tariff retaliation  Eas it happened
2018-03-23,EasyJet suspends pilots over dancing cartoon cockpit video
2018-03-23,'We have been hijacked': fishermen feel used over Brexit
2018-03-23,Minister cites climate change in rejection of opencast coal mine
2018-03-23,Global markets plunge as China reacts to Trump’s steel tariffs
2018-03-23,Brexit explained  Britain's fishing fleet and Brexit promises  Ekey questions answered
2018-03-23,MPs demand tougher rules on night flights for Heathrow upgrade
2018-03-23,Fever-Tree co-founder toasts £82.5m payday from selling shares
2018-03-23,It’s time we listened to people like Mark Boyle
2018-03-23,The Guardian view on rising crime: more police alone can’t solve it
2018-03-23,"Nils Pratley on finance  


  A trade war would be bad, but Trump does have a point"
2018-03-23,Ted Baker shares tumble after trading conditions warning
2018-03-23,Trump reveals $60bn of fresh tariffs on China as EU wins reprieve
2018-03-23,"Australia's exemption from Trump steel tariff is temporary, with quotas to come"
2018-03-23,"The upside  The rebel bank, printing its own notes and buying back people's debts"
2018-03-23,Trump's China tariffs risk 'tit-for-tat protectionism' that threatens world economy
2018-03-25,"William Keegan's in my view  


  Brexit was making us a joke nation even before the blue passports"
2018-03-25,Fears mount for House of Fraser as it holds funding crisis talks
2018-03-25,My 17-hour Qantas odyssey in kangaroo pyjamas
2018-03-25,Nuclear watchdog raises Hinkley Point C concerns
2018-03-25,"Economics viewpoint  


  Is it time to break up the tech giants such as Facebook?"
2018-03-25,Paper tigers? US and China in dispute over tariffs but trade war looks remote
2018-03-25,Dow dreamers show Trump's war on elites is pure fantasy
2018-03-25,"Business leader  


  Good news about renewables: but the heat is still on to cut fossil fuel use"
2018-03-25,First non-stop scheduled flight from Australia to Britain lands after 17 hours
2018-03-25,"Observer business agenda  


  Oligarchs, courtiers and roubles move through the City"
2018-03-25,"Grogonomics  


  Business's 'Kumbaya' promises show how weak the need for company tax cuts is"
2018-03-25,Sajid Javid faces battle over 4% affordable homes in Sainsbury's scheme
2018-03-25,Next chief calls 2017 'toughest in 25 years' as profits slide by 8%
2018-03-25,Sleepy world of retail mattress sales gets rude awakening
2018-03-25,Anton Yelchin's family settle Jeep lawsuit over Star Trek actor's death
2018-03-25,Universal credit to slash benefits for the self-employed
2018-03-25,Raider Ed Bramson leaves Barclays to sweat over his biggest bet yet
2018-03-25,Markets rattled again by trade war fears after Chinese retaliation
2018-03-25,Unprotected GKN left to brave the cold corporate winds alone
2018-03-25,Weekend fashion special spring/summer 2018  'I'm just not snobby': how Christopher Bailey restyled Burberry
2018-03-26,"Embrace smart meter rollout or go bust, big energy firms warned"
2018-03-26,First self-driving train launches on London Thameslink route
2018-03-26,Remington: US gunmaker files for bankruptcy amid 'Trump slump'
2018-03-26,"Project Syndicate economists  


  The middle is being squeezed – can it recover?"
2018-03-26,Jeremy Corbyn puts new focus on inequality but the old challenges loom
2018-03-26,DPD courier's widow: earlier rule changes could have saved Don
2018-03-26,Business live  Markets edge higher on hopes US and China can resolve Trump tariff row -as it happened
2018-03-26,DPD to offer couriers sick pay and abolish fines after driver's death
2018-03-26,Telegraph Media Group reveals 35% gender pay gap
2018-03-26,GKN retracts claims of shareholder support against Melrose bid
2018-03-26,Smart meters: customers say they can’t get firms to install them
2018-03-26,Pricey periods: how to save money on sanitary products
2018-03-26,"UK pensions gender gap widens in past decade, figures show"
2018-03-26,"After Carillion, outsourcing looks like a dogma that’s run out of road"
2018-03-26,Asian shares battered by trade war fears but US signals willingness to talk
2018-03-26,"Carillion bosses displayed 'greed on stilts', MPs claim"
2018-03-26,Pay is falling behind productivity  Ewith Brexit-voting areas worst off
2018-03-26,Companies could face court over failing to report gender pay gap
2018-03-26,"Companies that pay less tax create fewer jobs, Labor research shows"
2018-03-26,How to boost your business? Let workers sleep
2018-03-27,Guardian Brexit watch  The Brexit economy: light at the end of the tunnel?
2018-03-27,H&M cuts prices after cold snap leads to profits slump
2018-03-27,National Grid backs plan for earlier petrol and diesel ban
2018-03-27,Guardian Brexit watch  'There is progress but we could do better' - experts debate Brexit outlook
2018-03-27,Guardian Brexit watch  How has the Brexit vote affected the economy? March verdict
2018-03-27,Box office analysis: UK  Peter Rabbit thumps Pacific Rim: Uprising at the UK box office
2018-03-27,"Brexit Britain, beware: the supply of Europeans is drying up"
2018-03-27,Business live  FTSE 100 and European markets rise as Wall Street rally continues  Eas it happened
2018-03-27,"First thoughts  


  The gig economy can be changed after all  Ethanks to unions and activists"
2018-03-27,Uber to sell south-east Asia business to competitor Grab
2018-03-27,Cutting EU migration very likely to hit growth  Eofficial advisers
2018-03-27,"Nils Pratley on finance  


  It’s futile to rage at hedge funds over GKN  Eshort-termism runs deeper"
2018-03-27,House of Fraser owner to inject funding amid fears for chain's future
2018-03-27,Gambling Commission considers ban on credit card betting
2018-03-27,"The Cambridge Analytica Files  Facebook's privacy practices are under investigation, FTC confirms"
2018-03-27,"Hydrogen-powered transport key to climate targets, says Shell"
2018-03-27,Arizona suspends Uber’s self-driving car testing after fatality
2018-03-27,Tax avoiders Eaccountants may have to give evidence to MPs
2018-03-27,London property slump most widespread since financial crisis
2018-03-27,Tax havens are a stain on Britain  Ethe cleanup starts now
2018-03-28,High street sales feel chill from 'beast from the east'
2018-03-28,MPs urge HMRC chief to investigate shareholder dealings in GKN takeover
2018-03-28,Walmart removes Cosmopolitan from checkouts as conservative lobbyists celebrate
2018-03-28,"Business live  Shire jumps on possible offer from Japan's Takeda, markets nervous after tech shakeout - as it happened"
2018-03-28,May considers banning City of London from selling Russian debt
2018-03-28,Academy president John Bailey cleared of sexual harassment allegations
2018-03-28,Business breakthroughs  'It just went mad' - meet the people behind the popcorn boom
2018-03-28,"The UK passport deal was at least transparent. Elsewhere, it's a different story"
2018-03-28,"Nils Pratley on finance  


  Melrose’s GKN pledges read like Greg Clark invented them to look bold"
2018-03-28,Shire's shares surge as Japan's Takeda considers bid
2018-03-28,"The alternatives  


  Meet Britain’s Willy Wonkas: the ideas factory that could save UK industry"
2018-03-28,The Guardian UK: Politics Weekly  The Alternatives: inside the ideas factory that could save UK industry  Epodcast
2018-03-28,Horlicks up for sale as GSK looks to fund $13bn Novartis deal
2018-03-28,Philip Green escapes company director ban for BHS £1 deal
2018-03-28,Superdry co-founder gives £1.2m to charity as he steps down
2018-03-28,EasyJet announces Berlin expansion and new long-haul link-ups
2018-03-28,Melrose pledges to keep its HQ in UK after hostile GKN bid
2018-03-28,"​Jaguar to supply 20,000 cars to Google's self-driving spin-off Waymo"
2018-03-28,Bottle and can deposit return scheme gets green light in England
2018-03-28,Keeping the collapse of civilisation at bay
2018-03-29,Number of cars built in UK falls for seventh month in a row
2018-03-29,"UK house prices fall for second month, with London weakest region"
2018-03-29,Ikea reveals 6.1% gender pay gap for UK retail business
2018-03-29,"Cost to fill Panini World Cup sticker book is £773, says maths prof"
2018-03-29,Bargain Booze owner Conviviality to file for administration
2018-03-29,Business made simple  I work therefore I am: why businesses are hiring philosophers
2018-03-29,"Parking problem: Volkswagen storing 300,000 diesels across US"
2018-03-29,Amazon snaps up Bake Off sponsorship in biggest UK TV deal
2018-03-29,The upside  How to bring a high street back from the dead
2018-03-29,The plastics crisis is more urgent than you know. Recycling bottles won’t fix it
2018-03-29,Stella McCartney buys Kering's 50% stake in her fashion label
2018-03-29,UK businesses told to expect workforce crisis after Brexit
2018-03-29,Harvey Weinstein aide tells of 'morally lacking' non-disclosure deal
2018-03-29,CEO of firm behind Dettol and Durex has pay cut by £11m
2018-03-29,Time to end the disastrous experiment in outsourcing
2018-03-29,"Bottle and can deposit return scheme could cost £1bn, say UK retailers"
2018-03-29,The Guardian view on Brexit: now is the time to change course
2018-03-29,Bargain Booze owner Conviviality on brink of collapse
2018-03-29,"Nils Pratley on finance  


  Reckitt Benckiser needs to wean itself off a dud pay model"
2018-03-29,Bitter takeover battle for GKN comes to a head
2018-03-30,Melrose trio who sought biggest deal yet with GKN – and biggest challenge
2018-03-30,California judge rules coffee firms including Starbucks must add cancer warning
2018-03-30,MPs call for government to block Melrose's £8bn hostile takeover of GKN
2018-03-30,"Nils Pratley on finance  


  Barclays boss Jes Staley’s handling of US fraud case was correct"
2018-03-30,What's the controversy over Melrose's hostile takeover of GKN?
2018-03-30,"Nils Pratley on finance  


  Melrose was ready for action; takeover target GKN wasn't"
2018-03-30,Gender pay gap: multiple firms submit questionable data
2018-03-30,Barclays agrees to pay $2bn to settle US fraud case
2018-03-30,"Women's rights and gender equality  'No women, no growth': regressive laws prevent economic equality, says study"
2018-03-30,Wind and solar make more electricity than nuclear for first time in UK
2018-03-30,"Break the cycle  Investors push gun companies for 'immediate, positive' steps to end violence"
2018-03-30,Michael Spencer to net £670m from takeover of Nex by CME Group
2018-03-30,"Baseball, Latino America's pastime, faces new challenges in age of Trump"
2018-03-30,Barclays to suspend online services while it splits bank
2018-03-30,Household spending hit six-year low in 2017 amid Brexit inflation
2018-03-30,Trump lashes out at Amazon and sends stocks tumbling
2018-03-30,Yoga with Modi: Indian PM stars in cartoon video of poses
2018-03-30,ExxonMobil Liberian oil deal went ahead despite anti-corruption concerns
2018-03-30,Business live  Household spending grows at slowest rate in six years - business live
2018-03-30,BP chief Bob Dudley's pay jumps by almost 13% to $13.4m
2018-04-01,Walmart reported to be in talks to buy health insurer Humana
2018-04-01,GKN will be stripped and sold for parts by ghouls who have no interest in making things
2018-04-01,Trump again attacks Amazon's postal service deal despite official findings
2018-04-01,Restaurant chains still force waiting staff to give up some tips
2018-04-01,Co-op to switch own-brand water to 50% recycled plastic bottles
2018-04-01,Ex-Uber boss was paid $4m by investor that acquired 17.5% stake
2018-04-01,"How I spend it  ‘I am 24 and live with my parents but I’m on track to save £50,000 before I’m 27 E
Apr-18, From car insurance to banking a new digital age is dawning"
2018-04-01,Data expert battles Nationwide after phantom withdrawal from ATM
2018-04-01,Brief letters  Signed off school with Beatlemania
2018-04-01,Declaring war on Cosmo? It feels like we're back in the 1980s
2018-04-01,Baobab fruit takes off as a  Euperfood Ewith sharp rise in UK sales
2018-04-01,Corbyn: interests of City speculators put above jobs in GKN takeover
2018-04-01,Brexit means eggs sit: Ferrero warns of stale Easter chocolate
2018-04-01,"Cathay Pacific completes two-leg journey, letting women wear trousers"
2018-04-01,Country diary  Country diary: my crash course in fencing
2018-04-01,The Guardian's Audio Long Reads  Perfect prams for perfect parents: the rise of the bougie buggy  Epodcast
2018-04-01,Cosmopolitan drawn into US culture wars as conservatives urge others to follow Walmart's lead
2018-04-01,Global mergers and acquisitions reach record high in Q1
2018-04-01,‘Homebase is the most disastrous retail acquisition in the UK ever E
2018-04-02,Social media ad spend to overtake TV's in spite of Facebook woes
2018-04-02,Robot heads for North Sea oil rigs in 'world first' scheme
2018-04-02,"Retail slump has put 21,000 jobs at risk in 2018 so far"
2018-04-02,Swansea tidal lagoon project faces job cuts and downsizing
2018-04-02,China retaliates against Trump tariffs with levy on US food imports
2018-04-02,Time to stockpile Irn-Bru? How the sugar tax will change our favourite drinks
2018-04-02,"Millions of UK workers at risk of being cheated out of pay, TUC warns"
2018-04-02,'Shocking' disparity in pension income revealed by latest HMRC data
2018-04-02,From sofa to sunbed: holidaymakers can see British pay-TV abroad
2018-04-02,Civil liberties groups pressure tech companies to take  Eecurity pledge E
2018-04-02,How did we let modern slavery become part of our everyday lives?
2018-04-02,"Business leader  


  The weakness of price caps is clear. Energy markets need bolder action"
2018-04-02,"Observer business agenda  


  Have you ever wished you were less well informed? Try outsourcing"
2018-04-02,"Trouble for big tech as consumers sour on Amazon, Facebook and co"
2018-04-02,"Economics viewpoint  


  Government's Easter pay rise is not all it's cracked up to be"
2018-04-02,The great pay gap debate: does gender still decide job roles?
2018-04-02,"Trans equality will come, but it won’t be an easy journey"
2018-04-02,"Bahrain strikes its biggest oil field, dwarfing current reserves"
2018-04-02,Up to 5m Saks and Lord & Taylor customers at risk after data breach
2018-04-02,Craft beer makers hope to crack new markets with tap rooms
2018-04-03,Fracking firm says first horizontal well at Lancashire is complete
2018-04-03,"Nils Pratley on finance  


  Spotify's direct listing breaks the mould  Eunlike its governance"
2018-04-03,Struggling Tesla speeds up production of Model 3 vehicles
2018-04-03,Toymaker Hornby to seek new finance deal after sales slump
2018-04-03,Widespread delays to European flights due to computer glitch
2018-04-03,RAC facing refund costs over breakdown cover renewal letters
2018-04-03,Spotify goes public with a bang after flag snafu to mark first day of trading
2018-04-03,"Workers at risk as robots set to replace 66m jobs, warns OECD"
2018-04-03,Final decision on post-Brexit passport contract is delayed
2018-04-03,Spotify's stock market debut: everything you need to know
2018-04-03,Ryanair reveals worst gender pay gap in airline industry
2018-04-03,Spotify poised to be a $25bn company on eve of IPO
2018-04-03,Trump defends rightwing TV network Sinclair after 'fake news' script goes viral
2018-04-03,The Guardian view on automation: put human needs first
2018-04-03,US stock market slides as China retaliates against Trump tariffs
2018-04-03,"Easter shoppers desert UK high streets, spreading retail gloom"
2018-04-03,Disney offers to buy Sky News to ease Murdoch's £11.7bn takeover
2018-04-03,"Chips are down: Apple to stop using Intel processors in Macs, reports say"
2018-04-03,Britain's factories report rise in production for March
2018-04-03,Post-Brexit passports contract: De La Rue to appeal against decision
2018-04-04,Gender pay gap: when does your company stop paying women in 2018?
2018-04-04,Business live  China fuels trade war fears with new tariffs on US goods - as it happened
2018-04-04,"Nils Pratley on finance  


  City knives are out for Martin Sorrell and his WPP empire"
2018-04-04,Gender pay gap figures reveal eight in 10 UK firms pay men more
2018-04-04,Why are unions so keen on nuclear jobs?
2018-04-04,Trump tariffs: China retaliates with new levies on US products
2018-04-04,Apple poaches Google's AI chief in push to save Siri
2018-04-04,Vauxhall’s Luton plant to increase production despite Brexit fears
2018-04-04,Would you drink Danny DeVito’s limoncello? The big names trying to sell us booze
2018-04-04,"Business live  Markets volatile amid trade war fears, as Spotify floats - as it happened"
2018-04-04,Construction industry frozen by 'beast from the east'
2018-04-04,Final warning issued to firms to report gender pay gap by midnight
2018-04-04,US plans tariffs on $50bn in Chinese imports to protest alleged tech theft
2018-04-04,Martin Sorrell's WPP role in doubt after misconduct claim
2018-04-04,'Beast from the east' cost UK supermarkets £22m
2018-04-04,US and China playing a gigantic game of chicken over trade
2018-04-04,Mothercare replaces CEO with former Kmart boss
2018-04-04,"Magners cider owner, C&C Group, to buy wholesale arm of Conviviality"
2018-04-04,Shell threatened with legal action over climate change contributions
2018-04-04,Spotify's public listing shows its ambition  Ebut won't help struggling musicians
2018-04-05,Echo Falls winemaker sold to private equity firm with eye on China
2018-04-05,"Nils Pratley on finance  


  Facebook board has to look past Mark Zuckerberg for reform"
2018-04-05,Foyles points to higher business rates and shop flood for poor 2017
2018-04-05,"1,500 UK firms miss deadline to report gender pay gap"
2018-04-05,Saying women don’t want the highest-paid jobs won’t wash any more
2018-04-05,Rank shares tumble 15% to three-year low after profits warning
2018-04-05,"Lights, camera but no action figures: are movie toys going out of fashion?"
2018-04-05,Facebook among 30 organisations in UK political data inquiry
2018-04-05,Jersey Royal potatoes delayed by 'beast from the east'
2018-04-05,Severe cold snap hits UK service sector
2018-04-05,HSBC whistleblower Hervé Falciani facing extradition to Switzerland
2018-04-05,Which? names 250 fridges and freezers that pose fire risk
2018-04-05,Business made simple  Secret Millionaire star Kavita Oberoi: 'The turning point was when I didn't get the promotion'
2018-04-05,China and US jockey for tariff concessions in tit-for-tat trade standoff
2018-04-05,How a US-China trade war would hurt us all
2018-04-05,National lottery profits surge as good causes garner less  EMPs report
2018-04-05,Sales of new cars in UK slumped in March
2018-04-05,IEA accused of undermining global shift from fossil fuels
2018-04-05,Why we need social housing in the US
2018-04-05,UK mobile operators pay close to £1.4bn for 5G spectrum
2018-04-06,Fight the power of the frackers by changing energy supplier
2018-04-06,Fresh blow for Airbus as Boeing wins $12bn jet order from American Airlines
